,eastAll,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear
3340,1.4,0.55,0.0,1.26,0.86,0.0
3341,0.72,0.6,0.0,0.65,0.38,0.0
3342,1.49,0.59,0.0,1.36,0.79,0.0
3343,1.27,4.91,0.0,4.65,0.84,0.0
3344,1.58,4.97,0.0,4.92,0.99,0.0
3345,6.49,6.46,0.0,9.36,1.44,0.0
3346,6.74,6.5,0.0,9.56,1.53,0.0
3347,5.17,0.04,0.0,0.0,0.0,0.0
3348,0.0,0.0,0.0,0.0,0.0,0.0
3349,0.57,0.97,0.0,1.06,0.54,0.0
3350,0.69,0.99,0.0,1.15,0.59,0.0
3351,0.0,0.0,0.0,0.0,0.0,0.0
3352,0.0,0.0,0.0,0.0,0.0,0.0
3353,2.12,0.55,0.0,2.01,0.99,0.0
3354,2.18,0.57,0.0,2.07,1.02,0.0
3355,2.11,2.76,0.0,2.52,2.22,0.0
3356,2.36,2.8,0.0,2.73,2.33,0.0
3357,3.38,1.54,0.0,3.32,2.07,0.0
3358,3.62,1.58,0.0,3.52,2.18,0.0
3359,1.32,1.06,0.0,1.33,0.5,0.0
3360,0.96,-0.41,0.0,0.96,0.27,0.0
3361,2.34,0.86,0.0,1.99,1.14,0.0
3362,4.43,1.06,0.0,4.64,2.58,0.0
3363,4.54,1.06,0.0,4.75,2.63,0.0
3364,3.5,1.57,0.0,3.92,2.78,0.0
3365,3.6,1.57,0.0,4.02,2.88,0.0
3366,-1.3,0.41,0.0,0.0,-1.0,0.0
3367,21.42,5.74,0.0,0.0,13.34,0.0
3368,20.73,5.62,0.0,0.0,12.95,0.0
3369,4.78,2.19,0.0,4.64,3.35,0.0
3370,4.88,2.2,0.0,4.73,3.38,0.0
3371,6.63,8.41,0.0,0.0,5.97,0.0
3372,6.92,1.85,0.0,6.92,5.76,0.0
3373,7.11,1.87,0.0,7.11,5.84,0.0
3374,1.46,0.74,0.0,1.27,0.81,0.0
3375,0.0,0.0,0.0,0.0,0.0,0.0
3376,0.0,0.0,0.0,0.0,0.0,0.0
3377,4.75,4.96,0.0,5.61,4.79,0.0
3378,5.19,5.02,0.0,5.94,4.94,0.0
3379,0.0,0.0,0.0,0.0,0.0,0.0
3380,1.34,0.68,0.0,0.0,0.92,0.0
3381,1.51,0.7,0.0,0.0,0.99,0.0
3382,-2.0,5.49,0.0,-1.31,-4.2,0.0
3383,4.2,2.66,0.0,4.2,0.29,0.0
3384,6.25,1.2,0.0,6.25,3.19,0.0
3385,3.5,7.59,0.0,7.99,3.36,0.0
3386,-7.03,5.22,0.0,-1.8,-5.34,0.0
3387,0.0,0.0,0.0,0.0,0.0,0.0
3388,0.54,0.31,0.0,0.0,0.48,0.0
3389,1.51,0.53,0.0,1.77,1.09,0.0
3390,1.42,0.88,0.0,1.3,0.81,0.0
3391,0.83,0.75,0.0,2.96,1.8,0.0
3392,0.0,0.0,0.0,0.0,0.0,0.0
3393,1.34,0.59,0.0,1.32,0.97,0.0
3394,0.0,0.0,0.0,0.0,0.0,0.0
3395,1.74,0.63,0.0,1.66,0.95,0.0
3396,1.6,1.08,0.0,1.41,0.61,0.0
3397,0.07,3.08,0.0,0.0,-0.47,0.0
3398,0.45,0.96,0.0,0.89,0.41,0.0
3399,-0.3,0.91,0.0,0.61,0.2,0.0
3400,-0.1,0.91,0.0,0.81,0.3,0.0
3401,0.0,0.0,0.0,0.0,0.0,0.0
3402,2.22,2.03,0.0,0.0,2.19,0.0
3403,2.25,2.03,0.0,0.0,2.21,0.0
3404,-4.2,5.04,0.0,-1.44,-3.52,0.0
3405,-3.8,5.14,0.0,-1.13,-3.41,0.0
3406,1.31,1.73,0.0,1.3,0.5,0.0
3407,1.4,1.74,0.0,1.39,0.49,0.0
3408,2.81,1.5,0.0,2.5,2.11,0.0
3409,3.05,1.51,0.0,2.84,2.15,0.0
3410,-0.53,5.54,0.0,0.0,-3.45,0.0
3411,0.0,0.0,0.0,0.0,0.0,0.0
3412,0.0,0.0,0.0,0.0,0.0,0.0
3413,1.77,0.41,0.0,1.52,0.92,0.0
3414,2.26,6.92,0.0,0.0,0.49,0.0
3415,-2.35,1.57,0.0,0.4,0.08,0.0
3416,11.0,5.17,0.0,0.0,7.12,0.0
3417,1.78,0.68,0.0,1.91,1.07,0.0
3418,1.84,0.56,0.0,1.53,0.7,0.0
3419,0.89,0.52,0.0,0.0,0.0,0.0
3420,0.0,0.0,0.0,0.0,0.0,0.0
3421,1.27,0.33,0.0,0.0,0.64,0.0
3422,0.0,0.0,0.0,0.0,0.0,0.0
3423,0.0,0.0,0.0,0.0,0.0,0.0
3424,0.0,0.0,0.0,0.0,0.0,0.0
3425,0.0,0.0,0.0,0.0,0.0,0.0
3426,0.0,0.0,0.0,0.0,0.0,0.0
