,_id,eastAll,eastName,eastOne,eastOneyear,eastSix,eastThree,eastThreeyear,eastUrl
4043,5955bce32c289c31b3b84a8b,16.76%,华夏新锦源混合A,-0.24%,--,18.11%,12.56%,--,http://fund.eastmoney.com/002871.html
4044,5955bce52c289c31b3b84a8d,-1.20%,兴业增益五年定开债,1.23%,-1.20%,-1.10%,-0.40%,--,http://fund.eastmoney.com/002870.html
4045,5955bce72c289c31b3b84a90,1.70%,融通通裕债券,1.70%,--,2.31%,1.60%,--,http://fund.eastmoney.com/002869.html
4046,5955bce92c289c31b3b84a92,-0.35%,鹏华丰茂债券,1.59%,-0.35%,0.53%,0.41%,--,http://fund.eastmoney.com/002868.html
4047,5955bceb2c289c31b3b84a94,2.40%,新华恒稳添利债券,0.39%,--,1.79%,0.99%,--,http://fund.eastmoney.com/002867.html
4048,5955bced2c289c31b3b84a96,5.90%,新华丰盈回报债券,1.53%,5.79%,5.16%,3.02%,--,http://fund.eastmoney.com/002866.html
4049,5955bcef2c289c31b3b84a98,2.66%,广发安泽回报纯债C,0.59%,2.66%,1.87%,0.96%,--,http://fund.eastmoney.com/002865.html
4050,5955bcf12c289c31b3b84a9b,2.52%,广发安泽回报纯债A,0.62%,2.52%,1.96%,1.05%,--,http://fund.eastmoney.com/002864.html
4051,5955bcf32c289c31b3b84a9d,8.30%,金信深圳成长混合发起式,10.74%,--,8.52%,8.30%,--,http://fund.eastmoney.com/002863.html
4052,5955bcf62c289c31b3b84a9f,-8.50%,金信量化精选混合,4.21%,--,6.15%,5.05%,--,http://fund.eastmoney.com/002862.html
4053,5955bcf82c289c31b3b84aa1,0%,工银智能制造股票,0%,0%,0%,0%,0%,http://fund.eastmoney.com/002861.html
4054,5955bcf92c289c31b3b84aa3,5.60%,前海开源沪港深新机遇混合,-1.22%,--,7.87%,-0.75%,--,http://fund.eastmoney.com/002860.html
4055,5955bcfb2c289c31b3b84aa6,-0.72%,长信富平纯债一年定开债C,0.78%,--,0.60%,0.10%,--,http://fund.eastmoney.com/002859.html
4056,5955bcfd2c289c31b3b84aa8,-0.38%,长信富平纯债一年定开债A,0.83%,--,0.80%,0.21%,--,http://fund.eastmoney.com/002858.html
4057,5955bcff2c289c31b3b84aaa,--,博时保丰保本C,0.00%,1.63%,1.11%,0.91%,0.00%,http://fund.eastmoney.com/002857.html
4058,5955bd012c289c31b3b84aac,--,博时保丰保本A,0.60%,1.93%,1.21%,0.90%,0.60%,http://fund.eastmoney.com/002856.html
4059,5955bd032c289c31b3b84aae,0%,博时现金宝货币C,0%,0%,0%,0%,0%,http://fund.eastmoney.com/002855.html
4060,5955bd052c289c31b3b84ab1,9.40%,华富元鑫灵活配置混合C,2.53%,--,8.64%,4.79%,--,http://fund.eastmoney.com/002854.html
4061,5955bd062c289c31b3b84ab3,92.50%,华富元鑫灵活配置混合A,80.07%,--,91.16%,84.21%,--,http://fund.eastmoney.com/002853.html
4062,5955bd082c289c31b3b84ab5,0%,招商财富宝交易型货币A,0%,0%,0%,0%,0%,http://fund.eastmoney.com/002852.html
4063,5955bd0a2c289c31b3b84ab7,25.50%,南方品质混合,7.17%,--,25.63%,8.19%,--,http://fund.eastmoney.com/002851.html
4064,5955bd0c2c289c31b3b84ab9,-5.10%,南方甑智混合,1.93%,--,-1.86%,-1.86%,--,http://fund.eastmoney.com/002850.html
4065,5955bd0d2c289c31b3b84abb,-9.50%,金信智能中国2025混合,3.67%,--,-4.23%,-1.31%,--,http://fund.eastmoney.com/002849.html
4066,5955bd0f2c289c31b3b84abe,0%,农银纯债定开债,0%,0%,0%,0%,0%,http://fund.eastmoney.com/002848.html
4067,5955bd122c289c31b3b84ac0,0%,天弘现金管家货币E,0%,0%,0%,0%,0%,http://fund.eastmoney.com/002847.html
4068,5955bd142c289c31b3b84ac2,3.50%,泓德泓华混合,1.67%,--,4.02%,2.07%,--,http://fund.eastmoney.com/002846.html
4069,5955bd162c289c31b3b84ac4,0.60%,上投摩根安鑫回报C,1.31%,--,1.72%,1.11%,--,http://fund.eastmoney.com/002845.html
4070,5955bd182c289c31b3b84ac6,-6.46%,金鹰多元策略混合,1.57%,--,-1.52%,-5.06%,--,http://fund.eastmoney.com/002844.html
4071,5955bd1b2c289c31b3b84ac9,1.93%,景顺长城景盈金利债券C,1.62%,--,2.92%,1.92%,--,http://fund.eastmoney.com/002843.html
4072,5955bd1d2c289c31b3b84acb,2.23%,景顺长城景盈金利债券A,1.64%,--,3.12%,2.02%,--,http://fund.eastmoney.com/002842.html
4073,5955bd1e2c289c31b3b84acd,2.30%,九泰久鑫债券C,0.49%,--,2.20%,0.99%,--,http://fund.eastmoney.com/002841.html
4074,5955bd212c289c31b3b84acf,2.60%,九泰久鑫债券A,0.59%,--,2.50%,1.18%,--,http://fund.eastmoney.com/002840.html
4075,5955bd232c289c31b3b84ad2,0.00%,华夏新锦程混合C,--,--,--,--,--,http://fund.eastmoney.com/002839.html
4076,5955bd262c289c31b3b84ad4,8.87%,华夏新锦程混合A,2.76%,--,10.11%,4.85%,--,http://fund.eastmoney.com/002838.html
4077,5955bd282c289c31b3b84ad6,2.90%,华夏网购精选混合,3.83%,--,3.63%,0.88%,--,http://fund.eastmoney.com/002837.html
